State,Lat,lng,Male,Female ,POP,metro_number,,,
Lombardia,45.81000612,9.08000362,4924451,5136123,10060574,1,,,TRUE
Emillia Romagna,44.65002525,10.91999467,2168535,2290942,4459477,1,,bologna,TRUE
Piemonte,44.92998232,8.209979206,2115079,2241327,4356406,1,,palermo,TRUE
Veneto,45.67001467,12.24001745,2399783,2506071,4905854,1,,Venice,TRUE
Toscana,43.72046958,10.40002641,1800741,1928900,3729641,1,,florence,TRUE
Marche,43.60037355,13.49994055,740927,784344,1525271,0.5,,,FALSE
Liguria,44.40998822,8.930038614,741760,808880,1550640,1,,Genoa,TRUE
Lazio,42.10041343,11.79999263,2838406,3040676,5879082,1,,,TRUE
Campania,41.05996014,14.33735714,2828490,2973202,5801692,1,,,TRUE
Trento,46.5004291,11.36001949,265497,275601,541098,0.5,,,FALSE
Puglia,41.31999595,16.27000403,1959903,2069150,4029053,1,,Bari(apulia),TRUE
Friuli,46.07001609,13.2400081,590802,624418,1215220,0.5,,,FALSE
Sicilia,36.93003135,14.72999467,2432589,2567302,4999891,2,,"Catania, messina",TRUE
Abruzzo,42.45543052,14.21865637,640136,671444,1311580,0.5,,,FALSE
Bolzano,46.4983,11.3548,262713,268465,531178,0.5,,,FALSE
Umbria,43.11037762,12.38998246,424819,457196,882015,0.5,,,FALSE
Sardegna,40.9142849,9.515071858,805762,833829,1639591,1,,Cagliari,TRUE
Calabria,39.08333661,17.12333695,955673,991458,1947131,1,,Reggio calabria,TRUE
Valle,45.73700107,7.315002596,61423,64243,125666,0.5,,,FALSE
Basilicata,40.64200213,15.7989965,276697,286172,562869,0.5,,,FALSE
Molise,41.56299912,14.65599656,150580,155037,305617,0.5,,,FALSE